wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant,redirect_url
The Effectiveness of Energy Cooperatives Operating on the Capacity Market,2021.0,5215765,http://dx.doi.org/10.3390/en14113226,Yes (1),https://www.mdpi.com/1996-1073/14/11/3226/htm
Federated Digital Platforms: Value Chain Integration for Sustainable Infrastructure Planning and Delivery,2021.0,5216381,http://dx.doi.org/10.3390/su13168996,Yes (1),https://www.mdpi.com/2071-1050/13/16/8996/htm
Technological innovation and environmental taxes toward a carbon-free economy: An empirical study in the context of COP-21,2021.0,5221371,http://dx.doi.org/10.1016/j.jenvman.2021.113418,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0301479721014808
Contribution of the Basilicata region to decarbonisation of the energy system: results of a scenario analysis,2021.0,5223475,http://dx.doi.org/10.1016/j.rser.2020.110544,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032120308285
Evaluation of the Climate Impact Reduction Potential of the Water-Enhanced Turbofan (WET) Concept,2021.0,5223944,http://dx.doi.org/10.3390/aerospace8030059,Yes (1),https://www.mdpi.com/2226-4310/8/3/59/htm
"Mapping of EU Support for High Nature Value Farmlands, from the Perspective of Natural and Landscape Regions",2021.0,5227259,http://dx.doi.org/10.3390/agriculture11090864,Yes (1),https://www.mdpi.com/2077-0472/11/9/864/htm
Emission reduction strategies in the EU steel industry: Implications for business model innovation,2021.0,5229433,http://dx.doi.org/10.1111/jiec.13124,Yes (1),
The challenge of forecasting the role of biofuel in EU transport decarbonisation at 2050: A meta-analysis review of published scenarios,2021.0,5229458,http://dx.doi.org/10.1016/j.rser.2021.110715,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032121000125
Impact of Spanish Offshore Wind Generation in the Iberian Electricity Market: Potential Savings and Policy Implications,2021.0,5229566,http://dx.doi.org/10.3390/en14154481,Yes (1),https://www.mdpi.com/1996-1073/14/15/4481/htm
High efficiency of the bioremoval process of Cu(II) ions with blackberry (Rubus L.) residues generated in the food industry,2021.0,5229581,http://dx.doi.org/10.5004/dwt.2021.27764,Yes (1),https://www.deswater.com/DWT_abstracts/vol_238/238_2021_174.pdf
The relevance of sustainable soil management within the European Green Deal,2021.0,5229615,http://dx.doi.org/10.1016/j.landusepol.2020.104950,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0264837720304257
POLAND'S ENERGY SECURITY IN THE CONTEXT OF EU ENVIRONMENTAL INITIATIVES,2021.0,5229703,http://dx.doi.org/10.30525/2256-0742/2021-7-4-226-230,Yes (1),http://baltijapublishing.lv/index.php/issue/article/view/1279
Potential economic value of integrating concentrating solar power into power grids,2021.0,5229712,http://dx.doi.org/10.1016/j.cie.2021.107554,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360835221004587
Aero Engine Concepts Beyond 2030: Part 1-The Steam Injecting and Recovering Aero Engine,2021.0,5229721,http://dx.doi.org/10.1115/1.4048985,Yes (1),https://asmedigitalcollection.asme.org/gasturbinespower/article-abstract/143/2/021001/1089681/Aero-Engine-Concepts-Beyond-2030-Part-1-The-Steam?redirectedFrom=fulltext
Solar hydrogen from North Africa to Europe through greenstream: A simulation-based analysis of blending scenarios and production plant sizing,2021.0,5231278,http://dx.doi.org/10.1016/j.ijhydene.2021.04.065,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360319921013951
Dynamics of Implementation of SDG 7 Targets in EU Member States 5 Years after the Adoption of the Paris Agreement,2021.0,5231463,http://dx.doi.org/10.3390/su13158284,Yes (1),https://www.mdpi.com/2071-1050/13/15/8284/htm
Decarbonisation Pathways of Industry in TIMES Model,2021.0,5233174,http://dx.doi.org/10.2478/rtuect-2021-0023,Yes (1),https://www.sciendo.com/article/10.2478/rtuect-2021-0023
Managing sustainability risks of bioenergy in four Nordic countries,2021.0,5235273,http://dx.doi.org/10.1186/s13705-021-00290-9,Yes (1),https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-021-00290-9
Time Delay Approach to Renewable Energy in the Visegrad Group,2021.0,5235632,http://dx.doi.org/10.3390/en14071928,Yes (1),https://www.mdpi.com/1996-1073/14/7/1928/htm
The role of the committee of the regions (CoR) to implement the Green Deal at the local level: an overview of Italy,2021.0,5235788,http://dx.doi.org/10.3934/geosci.2021037,Yes (1),http://www.aimspress.com/article/doi/10.3934/geosci.2021037
Economic growth in contrast to GHG emission reduction measures in Green Deal context,2021.0,5236457,http://dx.doi.org/10.1016/j.ecolind.2021.108153,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1470160X21008189
Carbon footprint of scenarios towards climate-neutral steel according to ISO 14067,2021.0,5237972,http://dx.doi.org/10.1016/j.jclepro.2021.128588,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652621027931
Green energy transformation in Poland,2021.0,5238556,http://dx.doi.org/10.24425/bpasts.2020.136213,Yes (1),https://journals.pan.pl/dlibra/publication/136213/edition/119102/content
Enabling strategies for mixed-used PEDs: energy efficiency between smart cities and Industry 4.0,2021.0,5238632,http://dx.doi.org/10.36253/techne-10594,Yes (1),https://oaj.fupress.net/index.php/techne/article/view/10594
Analyzing energy flexibility by demand response in a Finnish district heated apartment building,2021.0,5238775,http://dx.doi.org/10.1051/e3sconf/202124609006,Yes (1),https://www.e3s-conferences.org/articles/e3sconf/abs/2021/22/e3sconf_hvac2021_09006/e3sconf_hvac2021_09006.html
Mining in Poland in Light of Energy Transition: Case Study of Changes Based on the Knowledge Economy,2021.0,5240315,http://dx.doi.org/10.3390/su132413649,Yes (1),https://www.mdpi.com/2071-1050/13/24/13649/htm
Climate warming from managed grasslands cancels the cooling effect of carbon sinks in sparsely grazed and natural grasslands,2021.0,5244026,http://dx.doi.org/10.1038/s41467-020-20406-7,Yes (1),https://www.nature.com/articles/s41467-020-20406-7
Assessing the Sustainable Development and Renewable Energy Sources Relationship in EU Countries,2021.0,5247525,http://dx.doi.org/10.3390/en14082323,Yes (1),https://www.mdpi.com/1996-1073/14/8/2323/htm
Sustainable Urban Areas for 2030 in a Post-COVID-19 Scenario: Focus on Innovative Research and Funding Frameworks to Boost Transition towards 100 Positive Energy Districts and 100 Climate-Neutral Cities,2021.0,5247677,http://dx.doi.org/10.3390/en14010216,Yes (1),https://www.mdpi.com/1996-1073/14/1/216/htm
Climate neutral in agricultural production system: a regional case from China,2021.0,5247925,http://dx.doi.org/10.1007/s11356-021-13065-8,Yes (1),https://link.springer.com/article/10.1007/s11356-021-13065-8
Modelling Long-Term Transition from Coal-Reliant to Low-Emission Power Grid and District Heating Systems in Poland,2021.0,5247984,http://dx.doi.org/10.3390/en14248389,Yes (1),https://www.mdpi.com/1996-1073/14/24/8389/htm
HEAT PUMP OPTIMIZATION STRATEGIES FOR PARTICIPATION IN PRICE-CONTROLLED DEMAND RESPONSE IN THE LATVIAN ELECTRICITY MARKET,2021.0,5248538,http://dx.doi.org/10.2478/lpts-2021-0019,Yes (1),https://www.sciendo.com/article/10.2478/lpts-2021-0019
Tightening EU ETS targets in line with the European Green Deal: Impacts on the decarbonization of the EU power sector,2021.0,5249374,http://dx.doi.org/10.1016/j.apenergy.2021.116914,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261921003962
"A climate goal-based, multicriteria method for system evaluation in life cycle assessment",2021.0,5252086,http://dx.doi.org/10.1007/s11367-021-01991-1,Yes (1),https://link.springer.com/article/10.1007/s11367-021-01991-1
Role of Interfaces and Contact Formation for the Application of Lead-Free Perovskite Materials in Photovoltaic Cells,2021.0,5252892,http://dx.doi.org/10.1002/pssr.202100369,Yes (1),
Legal Regulation of Hydrogen in Germany and Ukraine as a Precondition for Energy Partnership and Energy Transition,2021.0,5253292,http://dx.doi.org/10.3390/en14248331,Yes (1),https://www.mdpi.com/1996-1073/14/24/8331/htm
The Impact of Poland's Energy Transition on the Strategies of Fossil Fuel Sector Companies-The Example of PKN Orlen Group,2021.0,5253555,http://dx.doi.org/10.3390/en14227474,Yes (1),https://www.mdpi.com/1996-1073/14/22/7474/htm
The Impact of Fleet Electrification on Carbon Emissions: A Case Study from Poland,2021.0,5253635,http://dx.doi.org/10.3390/en14206595,Yes (1),https://www.mdpi.com/1996-1073/14/20/6595/htm
Neighbourhood Modelling for Urban Sustainability Assessment,2021.0,5254159,http://dx.doi.org/10.3390/su13094654,Yes (1),https://www.mdpi.com/2071-1050/13/9/4654/htm
Assessment of emissions from residential combustion in Southeast Asia and implications for climate forcing potential,2021.0,5254375,http://dx.doi.org/10.1016/j.scitotenv.2021.147311,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0048969721023822
Targeting net climate benefits by wood utilization in Finland: Participatory backcasting combined with quantitative scenario exploration,2021.0,5257033,http://dx.doi.org/10.1016/j.futures.2021.102833,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0016328721001427
The Place of Photovoltaics in Poland's Energy Mix,2021.0,5258286,http://dx.doi.org/10.3390/en14051471,Yes (1),https://www.mdpi.com/1996-1073/14/5/1471/htm
The Role of BECCS in Achieving Climate Neutrality in the European Union,2021.0,5260026,http://dx.doi.org/10.3390/en14237842,Yes (1),https://www.mdpi.com/1996-1073/14/23/7842/htm
How Long Will Combustion Vehicles Be Used? Polish Transport Sector on the Pathway to Climate Neutrality,2021.0,5282331,http://dx.doi.org/10.3390/en14237871,Yes (1),https://www.mdpi.com/1996-1073/14/23/7871/htm
Towards Climate Neutrality in Poland by 2050: Assessment of Policy Implications in the Farm Sector,2021.0,5282353,http://dx.doi.org/10.3390/en14227595,Yes (1),https://www.mdpi.com/1996-1073/14/22/7595/htm
Load modelling and non-intrusive load monitoring to integrate distributed energy resources in low and medium voltage networks,2021.0,5310894,http://dx.doi.org/10.1016/j.renene.2021.07.056,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0960148121010612
Energy-efficient controlled natural ventilation in non-residential buildings - Experimental investigation of opening durations,2021.0,5312209,http://dx.doi.org/10.1002/bapi.202100006,Yes (1),
Molten Salt Storage for Power Generation,2021.0,5339430,http://dx.doi.org/10.1002/cite.202000137,Yes (1),
Does district heating tariff motivate energy efficiency improvement?,2021.0,5339501,http://dx.doi.org/10.1016/j.egyr.2021.08.087,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2352484721006892
Battery cost forecasting: a review of methods and results with an outlook to 2050,2021.0,5339514,http://dx.doi.org/10.1039/d1ee01530c,Yes (1),https://pubs.rsc.org/en/content/articlelanding/2021/EE/D1EE01530C
Efficiency of Implementing Climate/Energy Targets of the Europe 2020 Strategy and the Structural Diversity between Old and New Member States,2021.0,5339546,http://dx.doi.org/10.3390/en14248428,Yes (1),https://www.mdpi.com/1996-1073/14/24/8428/htm
The EUs Policies for the Green Deal Internationalization,2021.0,5339547,http://dx.doi.org/10.17323/1996-7845-2021-03-06,Yes (1),https://iorj.hse.ru/2021-16-3/519486854.html
An Interoperable BIM-Based Toolkit for Efficient Renovation in Buildings,2021.0,5339558,http://dx.doi.org/10.3390/buildings11070271,Yes (1),https://www.mdpi.com/2075-5309/11/7/271/htm
The EU's Recovery and Resilience Facility: A Next Phase in EU Socioeconomic Governance?,2021.0,5339561,http://dx.doi.org/10.17645/pag.v9i3.4290,Yes (1),https://www.cogitatiopress.com/politicsandgovernance/article/view/4290
Economies of scale in battery cell manufacturing: The impact of material and process innovations,2021.0,5339569,http://dx.doi.org/10.1016/j.apenergy.2021.116499,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S030626192100060X
Open model -based analysis of a 100% renewable and sector-coupled energy system?The case of Germany in 2050,2021.0,5339570,http://dx.doi.org/10.1016/j.apenergy.2021.116618,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261921001549
"Why Renewable Fuels should be Considered in the CO2 Standards of New Cars, Vans and Trucks.",2021.0,5339586,http://dx.doi.org/10.1007/978-3-658-35588-3_1,Yes (1),https://link.springer.com/chapter/10.1007/978-3-658-35588-3_1
Die Bedeutung der Lieferkette fur den Klimafussabdruck von UnternehmenThe Relevance of the Supply Chain for the Climate Footprint of Companies,2021.0,5339592,http://dx.doi.org/10.1002/cite.202100126,Yes (1),
Variation of Absorption Angstrom Exponent in Aerosols From Different Emission Sources,2021.0,5339594,http://dx.doi.org/10.1029/2020JD034094,Yes (1),
From Low- to Net-Zero Carbon Cities: The Next Global Agenda,2021.0,5339607,http://dx.doi.org/10.1146/annurev-environ-050120-113117,Yes (1),https://www.annualreviews.org/doi/10.1146/annurev-environ-050120-113117
On European Green Deal and Sustainable Development Policy (the Case of Romania),2021.0,5339613,http://dx.doi.org/10.3390/su132112233,Yes (1),https://www.mdpi.com/2071-1050/13/21/12233/htm
Environmental performance of a geothermal power plant using a hydrothermal resource in the Southern German Molasse Basin,2021.0,5339615,http://dx.doi.org/10.1016/j.renene.2020.11.028,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0960148120317699
Spatiotemporal Variations and Uncertainty in Crop Residue Burning Emissions over North China Plain: Implication for Atmospheric CO2 Simulation,2021.0,5339617,http://dx.doi.org/10.3390/rs13193880,Yes (1),https://www.mdpi.com/2072-4292/13/19/3880/htm
Reuse of CO2 in energy intensive process industries,2021.0,5339625,http://dx.doi.org/10.1039/d1cc03154f,Yes (1),https://pubs.rsc.org/en/content/articlelanding/2021/CC/D1CC03154F
Structural color coatings for high performance BIPV,2021.0,5339652,http://dx.doi.org/10.1088/1755-1315/855/1/012011,Yes (1),"https://validate.perfdrive.com/?ssa=127eda86-dc15-4861-9e6f-47925b1a6580&ssb=42258212488&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1755-1315%2F855%2F1%2F012011&ssi=b62586e7-8427-4394-8699-88fe9bc87d49&ssk=support@shieldsquare.com&ssm=14253006393494809106460629815116&ssn=1e390e1314a3b6dea73f35204870f63c018626c6fd09-274b-4fa6-bb46e5&sso=98963e6b-cfeca2d75c1e34fbcbb07b75bfd92c77b764c3932760dbd5&ssp=33976181171654019541165404927604372&ssq=67362821291610274854212916550199335711556&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
European Green Deal as a matter of security,2021.0,5339653,http://dx.doi.org/10.1088/1755-1315/900/1/012035,Yes (1),"https://validate.perfdrive.com/?ssa=c6ce1a8e-c67f-4afa-ae30-3ca909664124&ssb=00314270631&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1755-1315%2F900%2F1%2F012035&ssi=0b8fcaab-8427-408b-b705-880b0e2fa827&ssk=support@shieldsquare.com&ssm=04626364189208026100029647026585&ssn=bad917ed80350b617b5f556d327867ae4e051d24a9e7-6a7a-4370-9b66a8&sso=a31f8639-99b4674dd50b521f1634d943c7f13aa07b0e2b9b5a73071f&ssp=23333378091654098660165403367437109&ssq=02960791291735350162312917000729461080217&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
"Development of Renewable Energy in Lithuania: Experience, State and Trends",2021.0,5339654,http://dx.doi.org/10.5755/j01.erem.77.4.29902,Yes (1),https://erem.ktu.lt/index.php/erem/article/view/29902
Creating a Regulatory Framework for the ESG-investment in the Multimodal Transportation Development,2021.0,5339656,http://dx.doi.org/10.2478/plua-2021-0016,Yes (1),https://www.sciendo.com/article/10.2478/plua-2021-0016
R&d spending in the energy sector and achieving the goal of climate neutrality,2021.0,5339657,http://dx.doi.org/10.3390/en14237875,Yes (1),https://www.mdpi.com/1996-1073/14/23/7875/htm
The Relevance of the Supply Chain for the Climate Footprint of Companies,2021.0,5339658,http://dx.doi.org/10.1002/cite.202100126,Yes (1),
The EU climate package “Fit for 55” - a double-edged sword for Europeans and their forests and timber industry,2021.0,5339659,http://dx.doi.org/10.1016/j.forpol.2021.102596,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1389934121002021
Emissions Trading as a Guiding Instrument for an Effective and Efficient EU Climate Policy in Transport,2021.0,5339660,http://dx.doi.org/10.1007/s10273-021-3023-1,Yes (1),https://link.springer.com/article/10.1007/s10273-021-3023-1
Added value in mechanized tunnelling by intelligent systems,2021.0,5339661,http://dx.doi.org/10.1002/geot.202100047,Yes (1),
"Comparison of Promising Sustainable C1-Fuels Methanol, Dimethyl Carbonate, and Methyl Formate in a DISI Single-Cylinder Light Vehicle Gasoline Engine",2021.0,5339662,http://dx.doi.org/10.4271/2021-01-1204,Yes (1),https://saemobilus.sae.org/content/2021-01-1204/
Global trends in aviation – new research directions,2021.0,5339664,http://dx.doi.org/10.13111/2066-8201.2021.13.3.19,Yes (1),https://bulletin.incas.ro/files/dobre-c__vol_13_iss_3.pdf
Road transport corridors to ecological transition in Spain,2021.0,5339665,http://dx.doi.org/10.2495/TDI-V5-N3-291-301,Yes (1),https://www.witpress.com/elibrary/tdi-volumes/5/3/2801
Utilisation of value for the consumer involvement in the processes of the energy sector,2021.0,5339666,http://dx.doi.org/10.6001/ENERGETIKA.V67I1.4533,Yes (1),https://www.lmaleidykla.lt/ojs/index.php/energetika/article/view/4533
The impact of Power transformers on the Energy Performance Indicators of the power distribution grids of industrial end-users transitioning towards environmental sustainability,2021.0,5339668,http://dx.doi.org/10.1109/MPS52805.2021.9492714,Yes (1),https://ieeexplore.ieee.org/document/9492714/
Design of a district heating roadmap for Hamburg,2021.0,5339670,http://dx.doi.org/10.1016/j.segy.2021.100014,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2666955221000149
Electronic Component System to Achieve Climate Neutrality,2021.0,5339671,http://dx.doi.org/10.1109/SSI52265.2021.9467009,Yes (1),https://ieeexplore.ieee.org/document/9467009/
"Corrigendum to: How to Achieve a More Resource-Efficient and Climate-Neutral Energy System by 2030? Views of Nordic Stakeholders: Views of Nordic Stakeholders (Review of Policy Research, (e0001), 10.1111/ropr.12347)",2021.0,5339673,http://dx.doi.org/10.1111/ropr.12414,Yes (1),
"Empirical analysis of ""GHG emission avoidance"" calculation for selection of sustainable environmental projects",2021.0,5339675,http://dx.doi.org/10.18280/ijsdp.160114,Yes (1),https://www.iieta.org/journals/ijsdp/paper/10.18280/ijsdp.160114
Policies for climate-neutral road transport,2021.0,5339680,http://dx.doi.org/10.1016/B978-0-12-822143-3.00007-X,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B978012822143300007X
Toward a roadmap for electrification,2021.0,5339681,http://dx.doi.org/10.1016/B978-0-12-822143-3.00008-1,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000081
Introduction: Electrification and the energy transition,2021.0,5339682,http://dx.doi.org/10.1016/B978-0-12-822143-3.00006-8,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000068
Globally and locally applicable technologies to accelerate electrification,2021.0,5339683,http://dx.doi.org/10.1016/B978-0-12-822143-3.00005-6,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000056
How to accelerate electrification? The leverage of policies,2021.0,5339684,http://dx.doi.org/10.1016/B978-0-12-822143-3.00011-1,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000111
Toward smarter and more flexible grids,2021.0,5339685,http://dx.doi.org/10.1016/B978-0-12-822143-3.00012-3,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000123
Anticipating future trends in energy transition: Multilevel dynamics in energy policy agenda-setting,2021.0,5339686,http://dx.doi.org/10.1016/B978-0-12-822143-3.00009-3,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000093
From energy consumers to prosumers-how do policies influence the transition?,2021.0,5339687,http://dx.doi.org/10.1016/B978-0-12-822143-3.00010-X,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B978012822143300010X
How to combine various solutions in a national context?,2021.0,5339688,http://dx.doi.org/10.1016/B978-0-12-822143-3.00003-2,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000032
Analyzing electrification scenarios for the northern European energy system,2021.0,5339689,http://dx.doi.org/10.1016/B978-0-12-822143-3.00013-5,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000135
Financial sustainability in Italian Organic Farms: an analysis of the fadn Sample,2021.0,5339692,http://dx.doi.org/10.3280/ecag2021oa12766,Yes (1),https://www.medra.org/servlet/MREngine?hdl=10.3280/ecag2021oa12766
Potential role of energy communities in the way towards climate neutrality Case study of Latvia,2021.0,5339693,http://dx.doi.org/10.1109/RTUCON53541.2021.9711724,Yes (1),https://ieeexplore.ieee.org/document/9711724/
Virtual Climatization,2021.0,5339695,http://dx.doi.org/10.37544/1436-4980-2021-11-12-118,Yes (1),
Research of biomass micro-cogeneration system integration with a solar PV panels in zero-energy family building,2021.0,5339700,http://dx.doi.org/10.17770/etr2021vol1.6568,Yes (1),http://journals.rta.lv/index.php/ETR/article/view/6568
Electrification and energy efficiency in buildings: Policy implications and interactions,2021.0,5339701,http://dx.doi.org/10.1016/B978-0-12-822143-3.00004-4,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128221433000044
Thermal and mechanical energy storage as a chance for energy transformation in Poland,2021.0,5339703,http://dx.doi.org/10.33223/EPJ/141867,Yes (1),"https://epj.min-pan.krakow.pl/Thermal-and-mechanical-energy-storage-as-a-chance-for-energy-transformation-in-Poland,141867,0,2.html"
A review of the basic safety requirements of emerging infrastructures for green transition,2021.0,5339706,http://dx.doi.org/10.3303/CET2186097,Yes (1),http://www.cetjournal.it/cet/21/86/097.pdf
Energy System Models for City Climate Mitigation Plans—Challenges and Recommendations,2021.0,5339713,http://dx.doi.org/10.1007/978-3-030-57764-3_2,Yes (1),https://link.springer.com/chapter/10.1007/978-3-030-57764-3_2
Introduction,2020.0,47533,http://dx.doi.org/10.18543/CED-62-2020PP25-29,Yes (1),https://ced.revistas.deusto.es/article/view/1751
Promises and Techno-Politics: Renewable Energy and Malmo's Vision of a Climate-Smart City,2020.0,3280208,http://dx.doi.org/10.1080/09505431.2019.1705274,Yes (1),https://www.tandfonline.com/doi/full/10.1080/09505431.2019.1705274
Projecting Climate Change Potential of Harvested Wood Products under Different Scenarios of Wood Production and Utilization: Study of Slovakia,2020.0,3546699,http://dx.doi.org/10.3390/su12062510,Yes (1),https://www.mdpi.com/2071-1050/12/6/2510/htm
Climate neutrality versus greenhouse gas neutrality. Challenges to cooperation in multi-level governance in Germany,2020.0,3596593,http://dx.doi.org/10.14512/gaia.29.1.7,Yes (1),https://www.ingentaconnect.com/content/oekom/gaia/2020/00000029/00000001/art00008;jsessionid=2b0fqi33b33ai.x-ic-live-03
Climate neutral enterprises and administration. Effective climate protection or greenwashing?,2020.0,3779032,http://dx.doi.org/10.14512/gaia.29.1.6,Yes (1),https://www.ingentaconnect.com/content/oekom/gaia/2020/00000029/00000001/art00007;jsessionid=1fog8d264dne0.x-ic-live-01
Introduction,2020.0,3779059,http://dx.doi.org/10.18543/ced-62-2020pp25-29,Yes (1),https://ced.revistas.deusto.es/article/view/1751
Catalyzing Sustainable Transport Innovation through Policy Support and Monitoring: The Case of TRIMIS and the European Green Deal,2020.0,3779778,http://dx.doi.org/10.3390/su12083171,Yes (1),https://www.mdpi.com/2071-1050/12/8/3171/htm
Analyzing Similarities between the European Union Countries in Terms of the Structure and Volume of Energy Production from Renewable Energy Sources,2020.0,3785743,http://dx.doi.org/10.3390/en13040913,Yes (1),https://www.mdpi.com/1996-1073/13/4/913/htm
New challenges for anesthesia due to the climate change,2020.0,3791834,http://dx.doi.org/10.1007/s00101-020-00770-1,Yes (1),https://link.springer.com/article/10.1007/s00101-020-00770-1
NATURAL GAS AND BIOMETHANE IN THE EUROPEAN ROAD TRANSPORT: THE LATVIAN PERSPECTIVE,2020.0,3806831,http://dx.doi.org/10.2478/lpts-2020-0016,Yes (1),https://www.sciendo.com/article/10.2478/lpts-2020-0016
Demonstrating GWP*: a means of reporting warming-equivalent emissions that captures the contrasting impacts of short- and long-lived climate pollutants,2020.0,3810348,http://dx.doi.org/10.1088/1748-9326/ab6d7e,Yes (1),"https://validate.perfdrive.com/?ssa=09c3ae8a-d1e9-408e-91bc-26d3b4eb6813&ssb=21601277609&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1748-9326%2Fab6d7e&ssi=c69f9ed1-8427-4130-ab24-b4ba906e05d6&ssk=support@shieldsquare.com&ssm=88110571641891548101064319556713&ssn=d06d77adb2f72fdec5a066dc68ad539caf736d7943de-b2a7-46cd-a63286&sso=07dc3efa-3e828d54f881c0f3475f6c142065a2f82734c1a562799ee5&ssp=36738516201654070601165402677649430&ssq=57056881295686930857312956223449676949745&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
Alnatura Campus - building the Alnatura Working Environment,2020.0,3812525,http://dx.doi.org/10.1002/bate.201900115,Yes (1),
The low carbon development options for Russia,2020.0,3834570,http://dx.doi.org/10.1007/s10584-020-02780-9,Yes (1),https://link.springer.com/article/10.1007/s10584-020-02780-9
How to Prioritize Energy Efficiency Intervention in Municipal Public Buildings to Decrease CO(2)Emissions? A Case Study from Italy,2020.0,3835469,http://dx.doi.org/10.3390/ijerph17124434,Yes (1),https://www.mdpi.com/1660-4601/17/12/4434/htm
Verfahrensubersicht zur Erzeugung von Wasserstoff durch Erdgas-PyrolyseState of the Art of Hydrogen Production via Pyrolysis of Natural Gas,2020.0,3849829,http://dx.doi.org/10.1002/cite.202000021,Yes (1),
What Does It Take to Go Net-Zero-CO2? A Life Cycle Assessment on Long-Term Storage of Intermittent Renewables With Chemical Energy Carriers,2020.0,3853316,http://dx.doi.org/10.3389/fenrg.2020.00104,Yes (1),https://www.frontiersin.org/articles/10.3389/fenrg.2020.00104/full
Technical Potential for Energy and GWP Reduction in Chemical-Pharmaceutical Industry in Germany and EU-Focused on Biologics and Botanicals Manufacturing,2020.0,3855868,http://dx.doi.org/10.3390/pr8070818,Yes (1),https://www.mdpi.com/2227-9717/8/7/818/htm
EU-28 Residential Heat Supply and Consumption: Historical Development and Status,2020.0,3861209,http://dx.doi.org/10.3390/en13081894,Yes (1),https://www.mdpi.com/1996-1073/13/8/1894/htm
At what carbon price forest cutting should stop,2020.0,3871997,http://dx.doi.org/10.1007/s11676-020-01101-1,Yes (1),https://link.springer.com/article/10.1007/s11676-020-01101-1
GHG Performance Evaluation in Green Deal Context,2020.0,3875685,http://dx.doi.org/10.2478/rtuect-2020-0026,Yes (1),https://www.sciendo.com/article/10.2478/rtuect-2020-0026
Ranking of Bioresources for Biogas Production,2020.0,3875838,http://dx.doi.org/10.2478/rtuect-2020-0021,Yes (1),https://www.sciendo.com/article/10.2478/rtuect-2020-0021
Digital Transformation Supporting Transport Decarbonisation: Technological Developments in EU-Funded Research and Innovation,2020.0,3878135,http://dx.doi.org/10.3390/su12093762,Yes (1),https://www.mdpi.com/2071-1050/12/9/3762/htm
