"sep=,"
wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant
Comparison of nZEB indicators for hotel renovations under different European climatic conditions,2021,4845631,http://dx.doi.org/10.1093/ijlct/ctaa059,Unrated (0)
Household solid waste combustion with wood increases particulate trace metal and lung deposited surface area emissions,2021,4850626,http://dx.doi.org/10.1016/j.jenvman.2021.112793,Mixed (3)
Substitution of beef with pea protein reduces the environmental footprint of meat balls whilst supporting health and climate stabilisation goals,2021,4857774,http://dx.doi.org/10.1016/j.jclepro.2021.126447,Yes (1)
"Measuring the level of environmental performance in insular areas, through key performed indicators, in the framework of waste strategy development",2021,4857954,http://dx.doi.org/10.1016/j.scitotenv.2020.141974,Yes (1)
"Coffee Berry Borer (Hypothenemus hampei) Emergence from Ground Fruits Across Varying Altitudes and Climate Cycles, and the Effect on Coffee Tree Infestation",2021,4874757,http://dx.doi.org/10.1007/s13744-021-00863-5,No (2)
"Biomethanation of agricultural residues: Potential, limitations and possible solutions",2021,4878454,http://dx.doi.org/10.1016/j.rser.2020.110217,Yes (1)
Biomass Sea-Based Supply Chains and the Secondary Ports in the Era of Decarbonization,2021,4878524,http://dx.doi.org/10.3390/en14071796,Yes (1)
Circular Bioeconomy Business Models to Overcome the Valley of Death. A Systematic Statistical Analysis of Studies and Projects in Emerging Bio-Based Technologies and Trends Linked to the SME Instrument Support,2021,4882789,http://dx.doi.org/10.3390/su13041899,Mixed (3)
How to define (net) zero greenhouse gas emissions buildings: The results of an international survey as part of IEA EBC annex 72,2021,4907792,http://dx.doi.org/10.1016/j.buildenv.2021.107619,Yes (1)
Think Green Before You Apply: EU Competition Law and Climate-Change Abatement,2021,4911608,,Yes (1)
Defining national biogenic methane targets: Implications for national food production & climate neutrality objectives,2021,4912001,http://dx.doi.org/10.1016/j.jenvman.2021.113058,Yes (1)
Case Study of Multi-Period MILP HENS with Heat Pump and Storage Options for the Application in Energy Intensive Industries,2021,4912738,http://dx.doi.org/10.3390/en14206741,Mixed (3)
Equity implications of climate policy: Assessing the social and distributional impacts of emission reduction targets in the European Union,2021,4913336,http://dx.doi.org/10.1016/j.energy.2021.121591,Yes (1)
Landscape-Based Visions as Powerful Boundary Objects in Spatial Planning: Lessons from Three Dutch Projects,2021,4913557,http://dx.doi.org/10.3390/land10010016,Mixed (3)
Solar-photovoltaic-power-sharing-based design optimization of distributed energy storage systems for performance improvements,2021,4914250,http://dx.doi.org/10.1016/j.energy.2021.119931,Yes (1)
Building Institutional Capacity to Plan for Climate Neutrality: The Role of Local Co-Operation and Inter-Municipal Networks at the Regional Level,2021,4915847,http://dx.doi.org/10.3390/su13042173,Unrated (0)
Are green cities sustainable? A degrowth critique of sustainable urban development in Copenhagen,2021,4916413,http://dx.doi.org/10.1080/09654313.2020.1841119,Yes (1)
Valorization Methodology for Agriculture Sector Climate Change Mitigation Measures,2021,4927073,http://dx.doi.org/10.2478/rtuect-2021-0071,Yes (1)
"A health economic assessment of air pollution effects under climate neutral vehicle fleet scenarios in Stockholm, Sweden",2021,4927284,http://dx.doi.org/10.1016/j.jth.2021.101084,Yes (1)
A Multi-Criteria Decision Process for EV Charging Stations' Deployment: Findings from Greece,2021,4930587,http://dx.doi.org/10.3390/en14175441,Yes (1)
Introduction,2021,4933692,http://dx.doi.org/10.1515/hsz-2021-0245,Unrated (0)
Engaging citizens to boost climate neutrality and greater circularity: opportunities and challenges for research and innovation,2021,4936066,http://dx.doi.org/10.1007/s10098-020-01902-2,Yes (1)
"Impact of glgA1, glgA2 or glgC overexpression on growth and glycogen production in Synechocystis sp. PCC 6803",2021,4938948,http://dx.doi.org/10.1016/j.jbiotec.2021.08.012,Mixed (3)
Transition towards urban system integration and benchmarking of an urban area to accelerate mitigation towards net-zero targets,2021,4939284,http://dx.doi.org/10.1016/j.energy.2021.121394,Mixed (3)
Problems of financing sources for environmental protection in strategic documents of the European Union and Poland in the new financial perspective for 2021-2027,2021,4939542,http://dx.doi.org/10.12775/EiP.2021.044,Yes (1)
Political Economy of Green Hydrogen Rollout: A Global Perspective,2021,4943728,http://dx.doi.org/10.3390/su132313464,Yes (1)
Chemical Recycling of Mixed Plastic Wastes by Pyrolysis - Pilot Scale Investigations,2021,4946448,http://dx.doi.org/10.1002/cite.202100102,Yes (1)
Biomass Waste Processing into Artificial Humic Substances,2021,4946513,http://dx.doi.org/10.2478/rtuect-2021-0047,Yes (1)
"Accelerating mitigation of climate change with sustainable development of energy, water and environment systems",2021,4947182,http://dx.doi.org/10.1016/j.enconman.2021.114606,Yes (1)
Biomethanation of Carbon Monoxide by Hyperthermophilic Artificial Archaeal Co-Cultures,2021,4949360,http://dx.doi.org/10.3390/fermentation7040276,Unrated (0)
Determinants of the EU Citizens' Attitudes towards the European Energy Union Priorities,2021,4949418,http://dx.doi.org/10.3390/en14175237,Unrated (0)
Toward Low-Carbon European Union Society: Young Poles' Perception of Climate Neutrality,2021,4949799,http://dx.doi.org/10.3390/en14165107,Yes (1)
"The Potential of Ecological Distributed Energy Generation Systems, Situation, and Perspective for Poland",2021,4950199,http://dx.doi.org/10.3390/en14237966,Yes (1)
Unlocking emerging impacts of carbon tax on integrated energy systems through supply and demand co-optimization,2021,4983365,http://dx.doi.org/10.1016/j.apenergy.2021.117579,No (2)
Caught in between: credibility and feasibility of the voluntary carbon market post-2020,2021,5151226,http://dx.doi.org/10.1080/14693062.2021.1948384,Yes (1)
Carbon pricing of basic materials: Incentives and risks for the value chain and consumers,2021,5195834,http://dx.doi.org/10.1016/j.ecolecon.2021.107168,Unrated (0)
Understanding the trends in Denmark's global food trade-related greenhouse gas and resource footprint,2021,5196075,http://dx.doi.org/10.1016/j.jclepro.2021.127785,Unrated (0)
Systematization and Classification of the European Union's policy Instruments for the Implementation of the Green Deal,2021,5196207,http://dx.doi.org/10.17323/1996-7845-2021-04-02,Yes (1)
The Greenhouse Gas Absorption Potential of Russian Forests and Possibilities for Carbon Footprint Reduction for Exported Domestic Products,2021,5196245,http://dx.doi.org/10.1134/S1028334X21080122,Yes (1)
The Concept of Multiple Impacts of Renewable Energy Sources: A Critical Review,2021,5198162,http://dx.doi.org/10.3390/en14113183,Unrated (0)
Key Factors Influencing the Achievement of Climate Neutrality Targets in the Manufacturing Industry: LMDI Decomposition Analysis,2021,5198172,http://dx.doi.org/10.3390/en14238006,Yes (1)
Towards a Territorially Just Climate Transition-Assessing the Swedish EU Territorial Just Transition Plan Development Process,2021,5198650,http://dx.doi.org/10.3390/su13137505,Yes (1)
NATURAL POLYMERS ON THE GLOBAL AND EUROPEAN MARKET-PRESENTATION OF RESEARCH RESULTS IN THE LUKASIEWICZ RESEARCH NETWORK-INSTITUTE OF BIOPOLYMERS AND CHEMICAL FIBERS-CASE STUDIES ON THE CELLULOSE AND CHITOSAN FIBERS,2021,5198819,http://dx.doi.org/10.2478/aut-2021-0033,Yes (1)
"Drivers, Impacts and Mitigation of Increased Sedimentation in the Hydropower Reservoirs of East Africa",2021,5199728,http://dx.doi.org/10.3390/land10060638,Yes (1)
Interlinking the Renewable Electricity and Gas Sectors: A Techno-Economic Case Study for Austria,2021,5201225,http://dx.doi.org/10.3390/en14196289,Yes (1)
The Coronavirus Crisis versus Social and Market Economy of Germany,2021,5201416,http://dx.doi.org/10.15211/soveurope420215870,No (2)
How Much Can Small-Scale Wind Energy Production Contribute to Energy Supply in Cities? A Case Study of Berlin,2021,5201498,http://dx.doi.org/10.3390/en14175523,Yes (1)
Building Industry and Energy Efficiency: A Review of Three Major Issues at Stake,2021,5201510,http://dx.doi.org/10.1007/978-3-030-86979-3_17,Yes (1)
"Can eco-routing, eco-driving and eco-charging contribute to the European Green Deal? Case Study: The City of Alcal = a de Henares (Madrid, Spain)",2021,5203363,http://dx.doi.org/10.1016/j.energy.2021.120532,Unrated (0)
"Future city visions. The energy transition towards carbon-neutrality: lessons learned from the case of Roeselare, Belgium",2021,5204412,http://dx.doi.org/10.1016/j.rser.2020.110612,Yes (1)
Hydrogen in the Strategies of the European Union Member States,2021,5205878,http://dx.doi.org/10.24425/gsm.2021.138660,Yes (1)
Decarbonization of Marine Fuels-The Future of Shipping,2021,5205995,http://dx.doi.org/10.3390/en14144311,Yes (1)
Impact of Prior Terrestrial Carbon Fluxes on Simulations of Atmospheric CO2 Concentrations,2021,5207254,http://dx.doi.org/10.1029/2021JD034794,Mixed (3)
Challenges of Coal Mining Regions and Municipalities in the Face of Energy Transition,2021,5207388,http://dx.doi.org/10.3390/en14206674,Yes (1)
Analysis of the Polish Hydrogen Strategy in the Context of the EU's Strategic Documents on Hydrogen,2021,5207400,http://dx.doi.org/10.3390/en14196382,Yes (1)
Energy Transition and Asset Specificity Transformation of the European Gas Market,2021,5207622,http://dx.doi.org/10.17323/1996-7845-2021-03-07,Yes (1)
Challenges and Opportunities of Coal Phase-Out in Western Macedonia,2021,5207636,http://dx.doi.org/10.3390/cli9070115,Yes (1)
Driving factors of differences in primary energy intensities of 14 European countries,2021,5208076,http://dx.doi.org/10.1016/j.enpol.2020.112090,Unrated (0)
"Coal transitions-part 1: a systematic map and review of case study learnings from regional, national, and local coal phase-out experiences",2021,5210879,http://dx.doi.org/10.1088/1748-9326/ac1b58,Mixed (3)
EU Agricultural Digitalization Decalogue,2021,5213544,http://dx.doi.org/10.1134/S1019331621060150,Mixed (3)
The Effectiveness of Energy Cooperatives Operating on the Capacity Market,2021,5215765,http://dx.doi.org/10.3390/en14113226,Yes (1)
Federated Digital Platforms: Value Chain Integration for Sustainable Infrastructure Planning and Delivery,2021,5216381,http://dx.doi.org/10.3390/su13168996,Yes (1)
The Importance of Water and Climate-Related Aspects in the Quality of Urban Life Assessment,2021,5218823,http://dx.doi.org/10.3390/su13126573,Mixed (3)
Technological innovation and environmental taxes toward a carbon-free economy: An empirical study in the context of COP-21,2021,5221371,http://dx.doi.org/10.1016/j.jenvman.2021.113418,Yes (1)
Contribution of the Basilicata region to decarbonisation of the energy system: results of a scenario analysis,2021,5223475,http://dx.doi.org/10.1016/j.rser.2020.110544,Yes (1)
Evaluation of the Climate Impact Reduction Potential of the Water-Enhanced Turbofan (WET) Concept,2021,5223944,http://dx.doi.org/10.3390/aerospace8030059,Yes (1)
"Mapping of EU Support for High Nature Value Farmlands, from the Perspective of Natural and Landscape Regions",2021,5227259,http://dx.doi.org/10.3390/agriculture11090864,Yes (1)
Design Space Exploration of a Fully Autonomous Health Monitoring WBAN Node with Hybrid Energy Harvesting,2021,5227279,http://dx.doi.org/10.1109/PowerMEMS54003.2021.9658387,No (2)
Emission reduction strategies in the EU steel industry: Implications for business model innovation,2021,5229433,http://dx.doi.org/10.1111/jiec.13124,Yes (1)
The challenge of forecasting the role of biofuel in EU transport decarbonisation at 2050: A meta-analysis review of published scenarios,2021,5229458,http://dx.doi.org/10.1016/j.rser.2021.110715,Yes (1)
Impact of Spanish Offshore Wind Generation in the Iberian Electricity Market: Potential Savings and Policy Implications,2021,5229566,http://dx.doi.org/10.3390/en14154481,Yes (1)
High efficiency of the bioremoval process of Cu(II) ions with blackberry (Rubus L.) residues generated in the food industry,2021,5229581,http://dx.doi.org/10.5004/dwt.2021.27764,Yes (1)
The relevance of sustainable soil management within the European Green Deal,2021,5229615,http://dx.doi.org/10.1016/j.landusepol.2020.104950,Yes (1)
POLAND'S ENERGY SECURITY IN THE CONTEXT OF EU ENVIRONMENTAL INITIATIVES,2021,5229703,http://dx.doi.org/10.30525/2256-0742/2021-7-4-226-230,Yes (1)
Potential economic value of integrating concentrating solar power into power grids,2021,5229712,http://dx.doi.org/10.1016/j.cie.2021.107554,Yes (1)
Aero Engine Concepts Beyond 2030: Part 1-The Steam Injecting and Recovering Aero Engine,2021,5229721,http://dx.doi.org/10.1115/1.4048985,Yes (1)
A review on the fundamentals of hydrogen-based reduction and recycling concepts for electric arc furnace dust extended by a novel conceptualization,2021,5229964,http://dx.doi.org/10.1016/j.ijhydene.2021.07.062,Unrated (0)
Solar hydrogen from North Africa to Europe through greenstream: A simulation-based analysis of blending scenarios and production plant sizing,2021,5231278,http://dx.doi.org/10.1016/j.ijhydene.2021.04.065,Yes (1)
Dynamics of Implementation of SDG 7 Targets in EU Member States 5 Years after the Adoption of the Paris Agreement,2021,5231463,http://dx.doi.org/10.3390/su13158284,Yes (1)
Decarbonisation Pathways of Industry in TIMES Model,2021,5233174,http://dx.doi.org/10.2478/rtuect-2021-0023,Yes (1)
Managing sustainability risks of bioenergy in four Nordic countries,2021,5235273,http://dx.doi.org/10.1186/s13705-021-00290-9,Yes (1)
Time Delay Approach to Renewable Energy in the Visegrad Group,2021,5235632,http://dx.doi.org/10.3390/en14071928,Yes (1)
European Climate Law(s): Assessing the Legal Path to Climate Neutrality,2021,5235772,,Yes (1)
The role of the committee of the regions (CoR) to implement the Green Deal at the local level: an overview of Italy,2021,5235788,http://dx.doi.org/10.3934/geosci.2021037,Yes (1)
Economic growth in contrast to GHG emission reduction measures in Green Deal context,2021,5236457,http://dx.doi.org/10.1016/j.ecolind.2021.108153,Yes (1)
Towards Building a Data-Driven Framework for Climate Neutral Smart Dairy Farming Practices,2021,5236773,http://dx.doi.org/10.1109/GHTC53159.2021.9612417,Unrated (0)
Carbon footprint of scenarios towards climate-neutral steel according to ISO 14067,2021,5237972,http://dx.doi.org/10.1016/j.jclepro.2021.128588,Yes (1)
System-Supporting Operation of Solid-Oxide Electrolysis Stacks,2021,5238186,http://dx.doi.org/10.3390/en14030544,Unrated (0)
Managing Sustainability and Carbon-Neutrality in the Public Administration-Case Report of a German State Institution,2021,5238294,http://dx.doi.org/10.3390/su13084146,Mixed (3)
Entrepreneurship Education Challenges for Green Transformation,2021,5238480,http://dx.doi.org/10.3390/admsci11010015,Mixed (3)
A Role for Nuclear in the Future Dutch Energy Mix Findings of a Study for the Dutch Parliament,2021,5238512,,Yes (1)
Green energy transformation in Poland,2021,5238556,http://dx.doi.org/10.24425/bpasts.2020.136213,Yes (1)
"Smarter Together: Progressing Smart Data Platforms in Lyon, Munich, and Vienna",2021,5238589,http://dx.doi.org/10.3390/en14041075,No (2)
Enabling strategies for mixed-used PEDs: energy efficiency between smart cities and Industry 4.0,2021,5238632,http://dx.doi.org/10.36253/techne-10594,Yes (1)
Analyzing energy flexibility by demand response in a Finnish district heated apartment building,2021,5238775,http://dx.doi.org/10.1051/e3sconf/202124609006,Yes (1)
Mining in Poland in Light of Energy Transition: Case Study of Changes Based on the Knowledge Economy,2021,5240315,http://dx.doi.org/10.3390/su132413649,Yes (1)
Green Energy in Central and Eastern European (CEE) Countries: New Challenges on the Path to Sustainable Development,2021,5242896,http://dx.doi.org/10.3390/en14040884,Unrated (0)
Climate warming from managed grasslands cancels the cooling effect of carbon sinks in sparsely grazed and natural grasslands,2021,5244026,http://dx.doi.org/10.1038/s41467-020-20406-7,Yes (1)
Opportunities and Challenges of the European Green Deal for the Chemical Industry: An Approach Measuring Innovations in Bioeconomy,2021,5247482,http://dx.doi.org/10.3390/resources10090091,Unrated (0)
Assessing the Sustainable Development and Renewable Energy Sources Relationship in EU Countries,2021,5247525,http://dx.doi.org/10.3390/en14082323,Yes (1)
Sustainable Urban Areas for 2030 in a Post-COVID-19 Scenario: Focus on Innovative Research and Funding Frameworks to Boost Transition towards 100 Positive Energy Districts and 100 Climate-Neutral Cities,2021,5247677,http://dx.doi.org/10.3390/en14010216,Yes (1)
Climate neutral in agricultural production system: a regional case from China,2021,5247925,http://dx.doi.org/10.1007/s11356-021-13065-8,Yes (1)
Modelling Long-Term Transition from Coal-Reliant to Low-Emission Power Grid and District Heating Systems in Poland,2021,5247984,http://dx.doi.org/10.3390/en14248389,Yes (1)
HEAT PUMP OPTIMIZATION STRATEGIES FOR PARTICIPATION IN PRICE-CONTROLLED DEMAND RESPONSE IN THE LATVIAN ELECTRICITY MARKET,2021,5248538,http://dx.doi.org/10.2478/lpts-2021-0019,Yes (1)
Tightening EU ETS targets in line with the European Green Deal: Impacts on the decarbonization of the EU power sector,2021,5249374,http://dx.doi.org/10.1016/j.apenergy.2021.116914,Yes (1)
How much multilateralism do we need? Effectiveness of unilateral agricultural mitigation efforts in the global context,2021,5251309,http://dx.doi.org/10.1088/1748-9326/ac2967,Unrated (0)
How environmental performance affects firms' access to credit: Evidence from EU countries,2021,5251472,http://dx.doi.org/10.1016/j.jclepro.2021.128294,Unrated (0)
"A climate goal-based, multicriteria method for system evaluation in life cycle assessment",2021,5252086,http://dx.doi.org/10.1007/s11367-021-01991-1,Yes (1)
Role of Interfaces and Contact Formation for the Application of Lead-Free Perovskite Materials in Photovoltaic Cells,2021,5252892,http://dx.doi.org/10.1002/pssr.202100369,Yes (1)
Legal Regulation of Hydrogen in Germany and Ukraine as a Precondition for Energy Partnership and Energy Transition,2021,5253292,http://dx.doi.org/10.3390/en14248331,Yes (1)
The Socio-Economic Cost of Wind Turbines: A Swedish Case Study,2021,5253513,http://dx.doi.org/10.3390/su13126892,Unrated (0)
"Inclusion of Renewable Energy Sources in Municipal Environmental Policy-The Case Study of Krakow, Poland",2021,5253521,http://dx.doi.org/10.3390/en14248573,Unrated (0)
The Impact of Poland's Energy Transition on the Strategies of Fossil Fuel Sector Companies-The Example of PKN Orlen Group,2021,5253555,http://dx.doi.org/10.3390/en14227474,Yes (1)
The Impact of Fleet Electrification on Carbon Emissions: A Case Study from Poland,2021,5253635,http://dx.doi.org/10.3390/en14206595,Yes (1)
Neighbourhood Modelling for Urban Sustainability Assessment,2021,5254159,http://dx.doi.org/10.3390/su13094654,Yes (1)
Assessment of emissions from residential combustion in Southeast Asia and implications for climate forcing potential,2021,5254375,http://dx.doi.org/10.1016/j.scitotenv.2021.147311,Yes (1)
Targeting net climate benefits by wood utilization in Finland: Participatory backcasting combined with quantitative scenario exploration,2021,5257033,http://dx.doi.org/10.1016/j.futures.2021.102833,Yes (1)
MODERN INNOVATIONS IN THE CONTEXT OF THE TRANSITION TO CIRCULAR ECONOMY,2021,5257957,http://dx.doi.org/10.15407/scine17.06.013,No (2)
The Place of Photovoltaics in Poland's Energy Mix,2021,5258286,http://dx.doi.org/10.3390/en14051471,Yes (1)
The Role of BECCS in Achieving Climate Neutrality in the European Union,2021,5260026,http://dx.doi.org/10.3390/en14237842,Yes (1)
Short- and long-term warming effects of methane may affect the cost-effectiveness of mitigation policies and benefits of low-meat diets,2021,5281754,http://dx.doi.org/10.1038/s43016-021-00385-8,Mixed (3)
Setting Emission Reduction Trajectories in Mediterranean Cities with the Use of Science-Based Targets: The Pathway towards Climate Neutrality and the Ambitious European Goals by 2050,2021,5282081,http://dx.doi.org/10.3390/atmos12111505,Unrated (0)
The role of photovoltaics for the European Green Deal and the recovery plan,2021,5282086,http://dx.doi.org/10.1016/j.rser.2021.111017,Unrated (0)
How Long Will Combustion Vehicles Be Used? Polish Transport Sector on the Pathway to Climate Neutrality,2021,5282331,http://dx.doi.org/10.3390/en14237871,Yes (1)
Towards Climate Neutrality in Poland by 2050: Assessment of Policy Implications in the Farm Sector,2021,5282353,http://dx.doi.org/10.3390/en14227595,Yes (1)
Load modelling and non-intrusive load monitoring to integrate distributed energy resources in low and medium voltage networks,2021,5310894,http://dx.doi.org/10.1016/j.renene.2021.07.056,Yes (1)
Energy-efficient controlled natural ventilation in non-residential buildings - Experimental investigation of opening durations,2021,5312209,http://dx.doi.org/10.1002/bapi.202100006,Yes (1)
"Simulation of the Use of Ground and Air Source Heat Pumps in Different Climatic Conditions on the Example of Selected Cities: Warsaw, Madrid, Riga, and Rome",2021,5319008,http://dx.doi.org/10.3390/en14206701,Unrated (0)
Effective climate policy needs non-combustion uses for hydrocarbons,2021,5339417,http://dx.doi.org/10.1016/j.enpol.2021.112446,Unrated (0)
Challenges of Approaching Climate Neutral Society in V4 Countries,2021,5339418,http://dx.doi.org/10.14254/1800-5845/2021.17-3.15,Unrated (0)
Debate on climate neutrality,2021,5339419,,Unrated (0)
Hydrogen Important Building Block Towards Climate Neutrality,2021,5339420,,Yes (1)
Key features of climate-neutral energy systems for municipalities in different climate zones,2021,5339422,http://dx.doi.org/10.1088/1742-6596/2042/1/012044,Unrated (0)
Climate Neutral by 2030: A major Challenge,2021,5339423,,Unrated (0)
Impact of the Coronacrisis on Germany's Transition to a Climate-neutral Economy,2021,5339427,http://dx.doi.org/10.15211/soveurope52021100112,Unrated (0)
Molten Salt Storage for Power Generation,2021,5339430,http://dx.doi.org/10.1002/cite.202000137,Yes (1)
Europe's Green Policy: Towards a Climate Neutral Economy by Way of Investors' Choice,2021,5339431,,Yes (1)
Hydrogen Technology towards the Solution of Environment-Friendly New Energy Vehicles,2021,5339433,http://dx.doi.org/10.3390/en14164892,Unrated (0)
Towards a Climate-Neutral Europe. Curbing the Trend,2021,5339439,,Unrated (0)
Fridays For Future demands climate neutral mobility and a complete mobility revolution,2021,5339442,http://dx.doi.org/10.1007/978-3-658-35588-3_36,Unrated (0)
Roadmap Greenhouse Gas Neutral Sugar Industry in Germany - Pathways to Climate Neutrality 2050,2021,5339443,http://dx.doi.org/10.36961/si26236,Unrated (0)
"The Paris Agreement and ""Climate neutrality"": the role for ""Agriculture, forestry and other land use"" sector",2021,5339445,http://dx.doi.org/10.25750/1995-4301-2021-3-219-227,Unrated (0)
The Green Hydrogen Puzzle: Towards a German Policy Framework for Industry,2021,5339446,http://dx.doi.org/10.3390/su132212626,Unrated (0)
Intermediary Liability in the EU Digital Common Market - from the E-Commerce Directive to the Digital Services Act,2021,5339448,,Unrated (0)
Co-Creation as the Solution to Sustainability Challenges in the Greenhouse Horticultural Industry: The Importance of a Structured Innovation Management Process,2021,5339451,http://dx.doi.org/10.3390/su13137149,Unrated (0)
Research on Policies and Mechanisms that can Streamline the Process of Transition to Green Energy and Achieve Climate Change-Related Targets,2021,5339455,http://dx.doi.org/10.2478/9788366675704-008,Unrated (0)
European Union Climate Governance and the European Green Deal in Turbulent Times,2021,5339457,http://dx.doi.org/10.17645/pag.v9i3.4896,Unrated (0)
Aligning agricultural production and environmental regulation: An integrated assessment of the Netherlands,2021,5339458,http://dx.doi.org/10.1016/j.landusepol.2021.105388,Unrated (0)
Hybrid structures at BTU Cottbus-Senftenberg,2021,5339461,http://dx.doi.org/10.1002/bate.202100056,Unrated (0)
Reducing Air Pollution: Are Environmental Taxes Enough to Help the EU Member States Reach Climate Neutrality by 2050?,2021,5339463,http://dx.doi.org/10.15244/pjoes/132621,Unrated (0)
Model predictive Control is indispensable for climate-neutral Energy,2021,5339467,,Unrated (0)
"Dena Pilot Study ""Aim for Climate Neutrality"" with FIW Participation",2021,5339468,http://dx.doi.org/10.1002/bapi.202170603,Unrated (0)
District Circular Transition and technological design towards a Circular City model,2021,5339469,http://dx.doi.org/10.36253/techne-10612,Unrated (0)
'Climate neutral' is a lie - abandon it as a goal,2021,5339470,,Unrated (0)
The Nexus of World Electricity and Global Sustainable Development,2021,5339471,http://dx.doi.org/10.3390/en14185843,Unrated (0)
"Long-Run Dynamics of Gas Emissions, Economic Growth, and Low-Carbon Energy in the European Union: The Fostering Effect of FDI and Trade",2021,5339472,http://dx.doi.org/10.3390/en14102858,Unrated (0)
Strategic policy targets and the contribution of hydrogen in a 100% renewable European power system,2021,5339473,http://dx.doi.org/10.1016/j.egyr.2021.07.005,Unrated (0)
Enhancing PV Self-Consumption through Energy Communities in Heating-Dominated Climates,2021,5339474,http://dx.doi.org/10.3390/en14144165,Unrated (0)
An Assessment of the Efficiency and Emissions of a Pellet Boiler Combusting Multiple Pellet Types,2021,5339475,http://dx.doi.org/10.3390/en14154465,Unrated (0)
Maladaptation of US corn and soybeans to a changing climate,2021,5339476,http://dx.doi.org/10.1038/s41598-021-91192-5,Unrated (0)
The Role of Discounting in Energy Policy Investments,2021,5339477,http://dx.doi.org/10.3390/en14196055,Unrated (0)
Holcim offers climate-neutral cement in Germany,2021,5339479,,Unrated (0)
Modeling the Price of Electric Vehicles as an Element of Promotion of Environmental Safety and Climate Neutrality: Evidence from Poland,2021,5339480,http://dx.doi.org/10.3390/en14248534,Unrated (0)
Digital airport twin - challenges in the digital transformation of airports in the context of airport management,2021,5339481,http://dx.doi.org/10.1515/auto-2021-0087,Unrated (0)
"The evolution of climate governance in China: drivers, features, and effectiveness",2021,5339483,http://dx.doi.org/10.1080/09644016.2021.1985221,Unrated (0)
Climate Protection In 2045 Germany should be Climate Neutral,2021,5339484,,Unrated (0)
Rethinking Methane - Livestock's Path to Climate Neutrality,2021,5339486,,Unrated (0)
Concepts for Hydrogen Internal Combustion Engines and Their Implications on the Exhaust Gas Aftertreatment System,2021,5339489,http://dx.doi.org/10.3390/en14238166,Unrated (0)
A Feasibility Study for the Transition to Electric Mobility in the Island of Favignana,2021,5339490,http://dx.doi.org/10.1109/EEEIC/ICPSEurope51590.2021.9584779,Unrated (0)
Lime Industry Roadmap 2050: Climate positive industry through climate neutral production,2021,5339491,,Unrated (0)
Time-Dependent Climate Impact of Utilizing Residual Biomass for Biofuels-The Combined Influence of Modelling Choices and Climate Impact Metrics,2021,5339493,http://dx.doi.org/10.3390/en14144219,Unrated (0)
"Analysis of the Heat Pump Market in Europe with a Special Regard to France, Spain, Poland and Lithuania",2021,5339494,http://dx.doi.org/10.2478/rtuect-2021-0063,Unrated (0)
Could Europe become the first climate-neutral continent?,2021,5339498,http://dx.doi.org/10.1038/d41586-021-02311-1,Unrated (0)
Beyond renovation: Addressing Europe's long housing crisis in the wake of the COVID-19 pandemic,2021,5339500,http://dx.doi.org/10.1177/09697764211043424,Unrated (0)
Does district heating tariff motivate energy efficiency improvement?,2021,5339501,http://dx.doi.org/10.1016/j.egyr.2021.08.087,Yes (1)
Strategies of Design Concepts and Energy Systems for Nearly Zero-Energy Container Buildings (NZECBs) in Different Climates,2021,5339503,http://dx.doi.org/10.3390/buildings11080364,Mixed (3)
Potentials and necessity for synthetic fuels and e-fuels to achieve climate goals,2021,5339504,,Unrated (0)
Real-Time Harmonic Component Decomposition for LV Grids Using Heterodyne Method With Adaptive Moving Average Filters<bold> </bold>,2021,5339508,http://dx.doi.org/10.1109/AMPS50177.2021.9586030,Unrated (0)
Rewe Producing Poultry Meat in a climate-neutral way,2021,5339509,,Unrated (0)
With Power-to-X climate-neutral flying,2021,5339511,,Unrated (0)
Industry 4.0: Larger Data Room and climate-neutral Production,2021,5339513,,Mixed (3)
Battery cost forecasting: a review of methods and results with an outlook to 2050,2021,5339514,http://dx.doi.org/10.1039/d1ee01530c,Yes (1)
Threats to the digital and climate-neutral Transformation,2021,5339515,http://dx.doi.org/10.1002/bate.202170903,Unrated (0)
Sand-lime Brick Industry discusses about Ways for Climate Neutrality: Innovation Forum 2020 with renowned Experts,2021,5339519,,Unrated (0)
"Bioenergy technologies, uses, market and future trends with Austria as a case study",2021,5339522,http://dx.doi.org/10.1016/j.rser.2020.110237,Unrated (0)
The comparative assessment of sustainable energy security in the Visegrad countries. A 10-year perspective,2021,5339523,http://dx.doi.org/10.1016/j.jclepro.2021.128427,Unrated (0)
Aircraft Requirements for Sustainable Regional Aviation,2021,5339525,http://dx.doi.org/10.3390/aerospace8030061,Unrated (0)
"Still in love with solar energy? Installation size, affect, and the social acceptance of renewable energy technologies",2021,5339526,http://dx.doi.org/10.1016/j.rser.2021.111107,Unrated (0)
Electrochemical Hydrogen Production Powered by PV/CSP Hybrid Power Plants: A Modelling Approach for Cost Optimal System Design,2021,5339527,http://dx.doi.org/10.3390/en14123437,Unrated (0)
Incorporating Multi-Modal Travel Planning into an Agent-Based Model: A Case Study at the Train Station Kellinghusenstrasse in Hamburg,2021,5339528,http://dx.doi.org/10.3390/land10111179,Unrated (0)
"Modeling of Persistence, Non-Acceptance and Sufficiency in Long-Term Energy Scenarios for Germany",2021,5339532,http://dx.doi.org/10.3390/en14154484,Unrated (0)
